time,ATOM,OSMO
2021-06-19 12:00:00,13218886367.0,164808171047.0
2021-06-19 18:00:00,23890119408.0,176989337473.0
2021-06-20 00:00:00,82569811699.0,343054695348.0
2021-06-20 06:00:00,140944446911.0,767579662969.0
2021-06-20 12:00:00,132871620626.0,824400827120.0
2021-06-20 18:00:00,156421319625.0,848243264260.0
2021-06-21 00:00:00,184819574250.0,840680097338.0
2021-06-21 06:00:00,180696295291.0,860678985313.0
2021-06-21 12:00:00,182671765412.0,899414364354.0
2021-06-21 18:00:00,205412573400.0,960260066446.0
2021-06-22 00:00:00,242981751081.0,874117728749.0
2021-06-22 06:00:00,295579905568.0,862128489540.0
2021-06-22 12:00:00,327770656236.0,793392929507.0
2021-06-22 18:00:00,352341710280.0,984414978001.0
2021-06-23 00:00:00,373817452875.0,985334003253.0
2021-06-23 06:00:00,420171888891.0,906888938820.0
2021-06-23 12:00:00,458943454852.0,885439466624.0
2021-06-23 18:00:00,469158182713.0,1032664628976.0
2021-06-24 00:00:00,586817616561.0,1047364070630.0
2021-06-24 06:00:00,681426233091.0,1036700331381.0
2021-06-24 12:00:00,705991387259.0,1070358412714.0
2021-06-24 18:00:00,703299464934.0,1164200800441.0
2021-06-25 00:00:00,866658835634.0,1216638339457.0
2021-06-25 06:00:00,918174459637.0,1234776937385.0
2021-06-25 12:00:00,925712382447.0,1303072882673.0
2021-06-25 18:00:00,948549007472.0,1376937764752.0
2021-06-26 00:00:00,954529646449.0,1439216379653.0
2021-06-26 06:00:00,950701433708.0,1475959166859.0
2021-06-26 12:00:00,924532722274.0,1543813992276.0
2021-06-26 18:00:00,952556634862.0,1641813644034.0
2021-06-27 00:00:00,977069364451.0,1713671287868.0
2021-06-27 06:00:00,974274371288.0,1738831557843.0
2021-06-27 12:00:00,975071943190.0,1752892352089.0
2021-06-27 18:00:00,961474065478.0,1912307996765.0
2021-06-28 00:00:00,1003690022535.0,1975233401217.0
2021-06-28 06:00:00,1019817394516.0,2065217159660.0
2021-06-28 12:00:00,1015731528064.0,2105806353359.0
2021-06-28 18:00:00,978275508849.0,2216809432856.0
2021-06-29 00:00:00,979210057230.0,2309636126670.0
2021-06-29 06:00:00,963524936650.0,2412101643629.0
2021-06-29 12:00:00,954541151370.0,2466599809818.0
2021-06-29 18:00:00,989379594537.0,2441481287420.0
2021-06-30 00:00:00,987169549869.0,2487954503395.0
2021-06-30 06:00:00,969955794298.0,2616623504508.0
2021-06-30 12:00:00,958319709250.0,2665207335732.0
2021-06-30 18:00:00,960481609686.0,2830117562158.0
2021-07-01 00:00:00,952663639542.0,2861169558805.0
2021-07-01 06:00:00,953045849908.0,2882981445128.0
2021-07-01 12:00:00,956194728351.0,2929135919156.0
2021-07-01 18:00:00,929387367930.0,3022102828453.0
2021-07-02 00:00:00,924190653428.0,3075244762756.0
2021-07-02 06:00:00,916781434458.0,3104830219829.0
2021-07-02 12:00:00,910205862653.0,3150194990423.0
2021-07-02 18:00:00,949795771613.0,3242388277972.0
2021-07-03 00:00:00,970075105026.0,3202807033685.0
2021-07-03 06:00:00,971997752079.0,3193739432362.0
2021-07-03 12:00:00,986344134423.0,3267259024709.0
2021-07-03 18:00:00,977067327551.0,3308811781761.0
2021-07-04 00:00:00,975870102539.0,3335663146401.0
2021-07-04 06:00:00,986258866350.0,3323719178435.0
2021-07-04 12:00:00,1003055431269.0,3320681511499.0
2021-07-04 18:00:00,981124429645.0,3405648108298.0
2021-07-05 00:00:00,1002557633566.0,3433958989831.0
2021-07-05 06:00:00,998881897265.0,3452182383070.0
2021-07-05 12:00:00,988414851743.0,3499500773505.0
2021-07-05 18:00:00,969209285804.0,3576230134919.0
2021-07-06 00:00:00,976024488823.0,3640022632496.0
2021-07-06 06:00:00,968800465005.0,3695810279750.0
2021-07-06 12:00:00,970148561216.0,3717898609077.0
2021-07-06 18:00:00,957201482913.0,3781943582561.0
2021-07-07 00:00:00,931545136317.0,3912246482973.0
2021-07-07 06:00:00,924166592951.0,3932132515668.0
2021-07-07 12:00:00,919971813321.0,3985792083967.0
2021-07-07 18:00:00,912006812550.0,4027175814882.0
2021-07-08 00:00:00,904518177141.0,4053848731300.0
2021-07-08 06:00:00,891667396278.0,4106149598784.0
2021-07-08 12:00:00,892380016283.0,4111549691523.0
2021-07-08 18:00:00,880506612483.0,4191664406942.0
2021-07-09 00:00:00,857552581377.0,4307377340476.0
2021-07-09 06:00:00,848761926422.0,4404442015065.0
2021-07-09 12:00:00,828167212433.0,4525792670351.0
2021-07-09 18:00:00,814100441834.0,4651597268746.0
2021-07-10 00:00:00,799378831986.0,4666365035745.0
2021-07-10 06:00:00,800795811914.0,4685303437406.0
2021-07-10 12:00:00,795221991863.0,4692277973150.0
2021-07-10 18:00:00,793124148065.0,4748229803061.0
2021-07-11 00:00:00,788442638285.0,4780127443564.0
2021-07-11 06:00:00,784827545650.0,4796274603580.0
2021-07-11 12:00:00,780842858139.0,4834672016490.0
2021-07-11 18:00:00,787664528626.0,4835574663002.0
2021-07-12 00:00:00,789453464356.0,4878549873396.0
2021-07-12 06:00:00,781364277261.0,4922430592900.0
2021-07-12 12:00:00,776733146407.0,4949557965051.0
2021-07-12 18:00:00,770998263050.0,5012430758187.0
2021-07-13 00:00:00,762821377992.0,5103944902595.0
2021-07-13 06:00:00,759905569748.0,5099035596130.0
2021-07-13 12:00:00,769926234743.0,5143190852229.0
2021-07-13 18:00:00,768389883255.0,5226948547560.0
2021-07-14 00:00:00,756751549942.0,5349608416800.0
2021-07-14 06:00:00,750463799354.0,5363237810227.0
2021-07-14 12:00:00,748395393088.0,5386258767762.0
2021-07-14 18:00:00,700949410625.0,5461440207431.0
2021-07-15 00:00:00,692787924919.0,5499285575024.0
2021-07-15 06:00:00,688648056257.0,5503964066980.0
2021-07-15 12:00:00,692096573093.0,5493490463405.0
2021-07-15 18:00:00,677942073498.0,5530400703170.0
2021-07-16 00:00:00,674077661028.0,5535052036384.0
2021-07-16 06:00:00,670429444472.0,5567939349018.0
2021-07-16 12:00:00,674913469563.0,5546233315542.0
2021-07-16 18:00:00,694194612967.0,5796404795125.0
2021-07-17 00:00:00,703430420386.0,5757557420315.0
2021-07-17 06:00:00,702301838243.0,5722075864790.0
2021-07-17 12:00:00,703600848757.0,5718434665864.0
2021-07-17 18:00:00,704916863712.0,5719466245093.0
2021-07-18 00:00:00,703577842584.0,5752866130476.0
2021-07-18 06:00:00,707775658173.0,5700459928702.0
2021-07-18 12:00:00,719116404474.0,5627420454115.0
2021-07-18 18:00:00,752113703036.0,5611588980364.0
2021-07-19 00:00:00,759525700324.0,5597603033788.0
2021-07-19 06:00:00,763284267197.0,5583462909761.0
2021-07-19 12:00:00,764060375845.0,5611673984752.0
2021-07-19 18:00:00,768401144715.0,5600165131845.0
2021-07-20 00:00:00,765799451129.0,5655763069697.0
2021-07-20 06:00:00,763255511037.0,5673711474339.0
2021-07-20 12:00:00,771777737653.0,5659932686316.0
2021-07-20 18:00:00,772483460661.0,5623195815303.0
2021-07-21 00:00:00,767822053969.0,5670715662614.0
2021-07-21 06:00:00,774427057790.0,5642127582286.0
2021-07-21 12:00:00,794770920014.0,5627694801721.0
2021-07-21 18:00:00,804175291070.0,5615130860882.0
2021-07-22 00:00:00,815182329311.0,5623439665517.0
2021-07-22 06:00:00,815811213274.0,5631004919672.0
2021-07-22 12:00:00,815199642499.0,5642827934964.0
2021-07-22 18:00:00,804244466436.0,5731222593202.0
2021-07-23 00:00:00,803806219226.0,5827035736779.0
2021-07-23 06:00:00,811856654670.0,5848459205130.0
2021-07-23 12:00:00,812738595937.0,5859517692347.0
2021-07-23 18:00:00,815828734736.0,5865198370889.0
2021-07-24 00:00:00,819000804849.0,5866733927826.0
2021-07-24 06:00:00,822954648985.0,5852583929528.0
2021-07-24 12:00:00,824407056377.0,5834513846253.0
2021-07-24 18:00:00,829034482951.0,5822782441141.0
2021-07-25 00:00:00,824183690959.0,5913803344337.0
2021-07-25 06:00:00,837407540740.0,5873792842660.0
2021-07-25 12:00:00,839714585115.0,5875779791357.0
2021-07-25 18:00:00,843097717306.0,5895708280921.0
2021-07-26 00:00:00,841060269096.0,5951421857887.0
2021-07-26 06:00:00,859928946373.0,5968533611394.0
2021-07-26 12:00:00,871854455600.0,5930461834037.0
2021-07-26 18:00:00,870239440241.0,5963239845702.0
2021-07-27 00:00:00,873117509195.0,5955157878582.0
2021-07-27 06:00:00,879652318490.0,5922343625391.0
2021-07-27 12:00:00,878086499523.0,5930794562297.0
2021-07-27 18:00:00,872638699169.0,5998476661149.0
2021-07-28 00:00:00,876282994285.0,6064646000982.0
2021-07-28 06:00:00,878249752841.0,6070662590142.0
2021-07-28 12:00:00,878562389784.0,6098149094974.0
2021-07-28 18:00:00,876664030266.0,6132040311846.0
2021-07-29 00:00:00,888127519193.0,6137991223735.0
2021-07-29 06:00:00,884541126679.0,6165297392291.0
2021-07-29 12:00:00,886385206323.0,6158314359760.0
2021-07-29 18:00:00,887093852676.0,6158238097564.0
2021-07-30 00:00:00,900033672792.0,6114634260242.0
2021-07-30 06:00:00,902437571239.0,6107644241521.0
2021-07-30 12:00:00,906767783523.0,6136399204916.0
2021-07-30 18:00:00,902551903480.0,6172557524401.0
2021-07-31 00:00:00,900125159958.0,6210712532931.0
2021-07-31 06:00:00,893048300736.0,6275018494824.0
2021-07-31 12:00:00,906055781493.0,6291182821086.0
2021-07-31 18:00:00,905630138548.0,6345275951018.0
2021-08-01 00:00:00,903469215548.0,6389990857245.0
2021-08-01 06:00:00,907228709538.0,6412777276505.0
2021-08-01 12:00:00,911673691664.0,6402276775304.0
2021-08-01 18:00:00,910470647488.0,6457947756548.0
2021-08-02 00:00:00,922692520413.0,6655992251151.0
2021-08-02 06:00:00,921462344109.0,6683934959503.0
2021-08-02 12:00:00,923355863530.0,6688343450246.0
2021-08-02 18:00:00,922749687720.0,6714043133915.0
2021-08-03 00:00:00,929958424382.0,6708790658888.0
2021-08-03 06:00:00,933259319523.0,6731335427170.0
2021-08-03 12:00:00,934603594483.0,6750205698838.0
2021-08-03 18:00:00,944829707106.0,6720269243244.0
2021-08-04 00:00:00,951849601190.0,6747381373213.0
2021-08-04 06:00:00,950407326517.0,6779458848907.0
2021-08-04 12:00:00,952281748279.0,6811549335945.0
2021-08-04 18:00:00,948641082010.0,6874812531948.0
2021-08-05 00:00:00,945741401322.0,6901245399947.0
2021-08-05 06:00:00,944185722565.0,6921161525071.0
2021-08-05 12:00:00,952220405380.0,6913713326497.0
2021-08-05 18:00:00,941828769521.0,7053700610621.0
2021-08-06 00:00:00,946069249045.0,7137532506382.0
2021-08-06 06:00:00,946555446811.0,7138303381021.0
2021-08-06 12:00:00,950210028904.0,7143670867320.0
2021-08-06 18:00:00,947197838485.0,7214375938800.0
2021-08-07 00:00:00,946137073149.0,7225293717762.0
2021-08-07 06:00:00,946958345717.0,7249136202247.0
2021-08-07 12:00:00,941740652895.0,7310340856030.0
2021-08-07 18:00:00,949705079703.0,7304991555929.0
2021-08-08 00:00:00,956740579255.0,7342171380158.0
2021-08-08 06:00:00,959999520727.0,7382588399867.0
2021-08-08 12:00:00,954008620750.0,7453347261791.0
2021-08-08 18:00:00,959896033899.0,7446657648347.0
2021-08-09 00:00:00,965225593576.0,7488891738643.0
2021-08-09 06:00:00,963332722000.0,7514889509188.0
2021-08-09 12:00:00,965409501848.0,7539293310496.0
2021-08-09 18:00:00,959444956370.0,7614069998533.0
2021-08-10 00:00:00,960125692245.0,7661980012475.0
2021-08-10 06:00:00,966891063069.0,7655900592388.0
2021-08-10 12:00:00,968875130901.0,7649627629447.0
2021-08-10 18:00:00,988616071480.0,7719037224125.5
2021-08-11 00:00:00,992191645896.0,7804853551780.0
2021-08-11 06:00:00,985152349540.0,7887860266966.0
2021-08-11 12:00:00,1045349355620.0,8007860049844.0
2021-08-11 18:00:00,1057193706321.0,8175784533893.0
2021-08-12 00:00:00,1073124372102.0,8160763979687.0
2021-08-12 06:00:00,1080573511550.0,8167178013606.0
2021-08-12 12:00:00,1085324234347.0,8155278418995.0
2021-08-12 18:00:00,1086809605275.0,8175923739818.0
2021-08-13 00:00:00,1109518635782.0,8060367159205.0
2021-08-13 06:00:00,1113217500081.0,8086240734808.0
2021-08-13 12:00:00,1113814944491.0,8070726923125.0
2021-08-13 18:00:00,1147172802504.0,8045252867048.0
2021-08-14 00:00:00,1143106753255.0,8172202756241.0
2021-08-14 06:00:00,1151900134048.0,8151375075612.0
2021-08-14 12:00:00,1157659985162.0,8121424051926.0
2021-08-14 18:00:00,1167938911337.0,8104519726957.0
2021-08-15 00:00:00,1188666384751.0,8128090794094.0
2021-08-15 06:00:00,1193089806055.0,8125327452626.0
2021-08-15 12:00:00,1210133971713.0,8196172067173.0
2021-08-15 18:00:00,1208487557699.0,8216621743754.0
2021-08-16 00:00:00,1212046112556.0,8250067493242.0
2021-08-16 06:00:00,1218255621628.0,8223619610379.0
2021-08-16 12:00:00,1234523259573.0,8207202254455.0
2021-08-16 18:00:00,1235518145581.0,8275238956084.0
2021-08-17 00:00:00,1222682381674.0,8498557465422.0
2021-08-17 06:00:00,1222841297907.0,8523104585850.0
2021-08-17 12:00:00,1220111432859.0,8560484724591.0
2021-08-17 18:00:00,1229300362003.0,8579642599712.0
2021-08-18 00:00:00,1242565625245.0,8598806094914.0
2021-08-18 06:00:00,1252543762344.0,8592250437028.0
2021-08-18 12:00:00,1267548192069.0,8595416052805.0
2021-08-18 18:00:00,1277941047736.0,8626071513930.0
2021-08-19 00:00:00,1268749043550.0,8721055621597.0
2021-08-19 06:00:00,1271074150901.0,8816137388588.0
2021-08-19 12:00:00,1285391403641.0,8761011213261.0
2021-08-19 18:00:00,1286343156910.0,8824462087148.0
2021-08-20 00:00:00,1350950411158.0,8711313459907.0
2021-08-20 06:00:00,1360434887495.0,8682322857182.0
2021-08-20 12:00:00,1364951272545.0,8705638247909.0
2021-08-20 18:00:00,1376557483512.0,8850304698430.0
2021-08-21 00:00:00,1365218893065.0,8942961416907.0
2021-08-21 06:00:00,1378438057081.0,8868575003172.0
2021-08-21 12:00:00,1378436138929.0,8893846108714.0
2021-08-21 18:00:00,1362247945192.0,9075567999638.0
