time,ATOM,CRO
2021-07-23 12:00:00,161420966373.0,1615504750324214.0
2021-07-23 18:00:00,163263618923.0,1613678318157359.0
2021-07-24 00:00:00,162068641326.0,1625572571628645.0
2021-07-24 06:00:00,162268826777.0,1623750525991465.0
2021-07-24 12:00:00,161743091599.0,1630016665517249.0
2021-07-24 18:00:00,161224754863.0,1643276632404782.0
2021-07-25 00:00:00,162981179631.0,1629170250868668.0
2021-07-25 06:00:00,164836946874.0,1612205145904241.0
2021-07-25 12:00:00,165620236914.0,1623169446866989.0
2021-07-25 18:00:00,166020061502.0,1621173225414260.0
2021-07-26 00:00:00,165606973718.0,1628344860502092.0
2021-07-26 06:00:00,165424181385.0,1627715515553834.0
2021-07-26 12:00:00,165158779660.0,1631475541763566.0
2021-07-26 18:00:00,164211911176.0,1651612427606502.0
2021-07-27 00:00:00,168011774530.0,1635997447282449.0
2021-07-27 06:00:00,169930303169.0,1621300924601179.0
2021-07-27 12:00:00,169486686505.0,1639884891167076.0
2021-07-27 18:00:00,169039247881.0,1639562781116700.0
2021-07-28 00:00:00,170186224134.0,1628984407930436.0
2021-07-28 06:00:00,172718206230.0,1612765046476745.0
2021-07-28 12:00:00,171326282760.0,1633035614683677.0
2021-07-28 18:00:00,169934575092.0,1651530720668008.0
2021-07-29 00:00:00,171793423337.0,1643314677264687.0
2021-07-29 06:00:00,171664206455.0,1631927218695339.0
2021-07-29 12:00:00,180419493926.0,1723053041492668.0
2021-07-29 18:00:00,180782146985.0,1725378766810737.0
2021-07-30 00:00:00,180712188115.0,1728790438893994.0
2021-07-30 06:00:00,181108481744.0,1725827995853336.0
2021-07-30 12:00:00,181011542998.0,1728351334078297.0
2021-07-30 18:00:00,181254304322.0,1729736441618704.0
2021-07-31 00:00:00,180906543609.0,1733174320088523.0
2021-07-31 06:00:00,181796365691.0,1721238709213705.0
2021-07-31 12:00:00,181034486064.0,1727518922993802.0
2021-07-31 18:00:00,177811418385.0,1754321155042905.0
2021-08-01 00:00:00,177400621466.0,1760498989284303.0
2021-08-01 06:00:00,177153758892.0,1753819334164779.0
2021-08-01 12:00:00,176325545351.0,1776984146299312.0
2021-08-01 18:00:00,176184630741.0,1779508414739567.0
2021-08-02 00:00:00,176071457570.0,1782714659303606.0
2021-08-02 06:00:00,177480440774.0,1766083974105656.0
2021-08-02 12:00:00,177500067169.0,1765270325233181.0
2021-08-02 18:00:00,176755997187.0,1767492808475008.0
2021-08-03 00:00:00,176159088876.0,1775015047261849.0
2021-08-03 06:00:00,176636777963.0,1770778381796354.0
2021-08-03 12:00:00,176124868436.0,1775296959192196.0
2021-08-03 18:00:00,176347725712.0,1774316895408281.0
2021-08-04 00:00:00,176079733540.0,1783531420185985.0
2021-08-04 06:00:00,176034324221.0,1785911736667824.0
2021-08-04 12:00:00,178281323310.0,1788622433730655.0
2021-08-04 18:00:00,177876921512.0,1807910749751239.0
2021-08-05 00:00:00,178381359810.0,1805153996799410.0
2021-08-05 06:00:00,176357366013.0,1827500172690803.0
2021-08-05 12:00:00,175574694030.0,1836135258924554.0
2021-08-05 18:00:00,176822121710.0,1820647925722138.0
2021-08-06 00:00:00,178271335932.0,1795289684610599.0
2021-08-06 06:00:00,178539813862.0,1813212068641465.0
2021-08-06 12:00:00,177391987966.0,1828014956607819.0
2021-08-06 18:00:00,176985538238.0,1833696065644037.0
2021-08-07 00:00:00,177731043043.0,1838473082516930.0
2021-08-07 06:00:00,177075483208.0,1845723868677981.0
2021-08-07 12:00:00,176617914154.0,1852420879386912.0
2021-08-07 18:00:00,182773128430.0,1840077751139303.0
2021-08-08 00:00:00,183966063419.0,1828959919710521.0
2021-08-08 06:00:00,184077279471.0,1828425649412739.0
2021-08-08 12:00:00,188448325667.0,1891565522859133.0
2021-08-08 18:00:00,195068052853.0,1913801803699229.0
2021-08-09 00:00:00,196825701957.0,1898372956805347.0
2021-08-09 06:00:00,196142166392.0,1905586766753419.0
2021-08-09 12:00:00,194899603786.0,1917952767530673.0
2021-08-09 18:00:00,194877897828.0,1928151685656346.0
2021-08-10 00:00:00,196744154762.0,1908543338122378.0
2021-08-10 06:00:00,196821461436.0,1903237202320208.0
2021-08-10 12:00:00,195103837861.0,1920109010244482.0
2021-08-10 18:00:00,195715478721.0,1914326004186531.0
2021-08-11 00:00:00,195291531341.0,1920298507732197.0
2021-08-11 06:00:00,191252046803.0,1958297608059101.0
2021-08-11 12:00:00,190964031295.0,1962426272767806.0
2021-08-11 18:00:00,198247440989.0,1987275716328608.0
2021-08-12 00:00:00,199285221347.0,1980650388259020.0
2021-08-12 06:00:00,199381007598.0,1979871594036015.0
2021-08-12 12:00:00,197826010426.0,1995825438936676.0
2021-08-12 18:00:00,199001993807.0,1984636122719772.0
2021-08-13 00:00:00,199123167642.0,1983310008830158.0
2021-08-13 06:00:00,198658918591.0,1991073379614229.0
2021-08-13 12:00:00,195516844992.0,1967128410707414.0
