time,ATOM,XPRT
2021-07-23 12:00:00,409959581652.0,746011263824.0
2021-07-23 18:00:00,410220759707.0,747047022245.0
2021-07-24 00:00:00,407261316855.0,752318286833.0
2021-07-24 06:00:00,409393265938.0,749004610167.0
2021-07-24 12:00:00,408785286926.0,751118184672.0
2021-07-24 18:00:00,407145217768.0,751164991148.0
2021-07-25 00:00:00,405962886129.0,750657944102.0
2021-07-25 06:00:00,407429850376.0,748106386747.0
2021-07-25 12:00:00,407691599086.0,746996786299.0
2021-07-25 18:00:00,410921479231.0,743327168525.0
2021-07-26 00:00:00,411167164452.0,745373566301.0
2021-07-26 06:00:00,411804569674.0,745566301039.0
2021-07-26 12:00:00,412542468699.0,744260301093.0
2021-07-26 18:00:00,411598127035.0,746636710860.0
2021-07-27 00:00:00,415440047394.0,738917969997.0
2021-07-27 06:00:00,418705833032.0,736982954261.0
2021-07-27 12:00:00,415691140533.0,742552459028.0
2021-07-27 18:00:00,413360396069.0,750160868397.0
2021-07-28 00:00:00,410899199886.0,759319088690.0
2021-07-28 06:00:00,411336813460.0,758623932578.0
2021-07-28 12:00:00,408865455753.0,763623473650.0
2021-07-28 18:00:00,412439347137.0,759479814729.0
2021-07-29 00:00:00,414728895079.0,752321857430.0
2021-07-29 06:00:00,413264380178.0,754945296324.0
2021-07-29 12:00:00,412909612467.0,756474923121.0
2021-07-29 18:00:00,411160893106.0,759617842355.0
2021-07-30 00:00:00,410787685376.0,759853860442.0
2021-07-30 06:00:00,410318380416.0,762280240590.0
2021-07-30 12:00:00,409495559452.0,763282991778.0
2021-07-30 18:00:00,410073115054.0,763520642247.0
2021-07-31 00:00:00,407499654848.0,768538578459.0
2021-07-31 06:00:00,406389240857.0,772378609966.0
2021-07-31 12:00:00,406713780151.0,777241320234.0
2021-07-31 18:00:00,398005524264.0,816459065904.0
2021-08-01 00:00:00,398816238022.0,815468284474.0
2021-08-01 06:00:00,396272010411.0,820708223670.0
2021-08-01 12:00:00,394417833104.0,818338639232.0
2021-08-01 18:00:00,397709950518.0,814598738538.0
2021-08-02 00:00:00,399081539671.0,812430022408.0
2021-08-02 06:00:00,399173882297.0,812932889989.0
2021-08-02 12:00:00,406041769871.0,825154856035.0
2021-08-02 18:00:00,404031273990.0,829425250818.0
2021-08-03 00:00:00,405043432091.0,836794605808.0
2021-08-03 06:00:00,411702884274.0,841034366850.0
2021-08-03 12:00:00,408648357984.0,848112400871.0
2021-08-03 18:00:00,453101162779.0,933007875916.0
2021-08-04 00:00:00,446003607446.0,917095121390.0
2021-08-04 06:00:00,447476014834.0,947275292656.0
2021-08-04 12:00:00,445000852487.0,952690850791.0
2021-08-04 18:00:00,446537753117.0,951719153828.0
2021-08-05 00:00:00,448442022730.0,962376426361.0
2021-08-05 06:00:00,441398132994.0,978065843245.0
2021-08-05 12:00:00,443854328484.0,974069032829.0
2021-08-05 18:00:00,440980924836.0,980823648063.0
2021-08-06 00:00:00,440635898930.0,980433959644.0
2021-08-06 06:00:00,444333044179.0,972354926039.0
2021-08-06 12:00:00,444974653856.0,970985039882.0
2021-08-06 18:00:00,442393263940.0,977074557384.0
2021-08-07 00:00:00,442155218682.0,977499203650.0
2021-08-07 06:00:00,444035500142.0,979425883263.0
2021-08-07 12:00:00,444695440974.0,978444950807.0
2021-08-07 18:00:00,443596662534.0,974413033398.0
2021-08-08 00:00:00,443808215636.0,974574923083.0
2021-08-08 06:00:00,440729603692.0,981432340714.0
2021-08-08 12:00:00,439884622433.0,983552308310.0
2021-08-08 18:00:00,442360845320.0,978062143275.0
2021-08-09 00:00:00,438677473520.0,988861258104.0
2021-08-09 06:00:00,440587876955.0,984674180486.0
2021-08-09 12:00:00,432865045693.0,967261220506.0
2021-08-09 18:00:00,430060873725.0,975193740462.0
2021-08-10 00:00:00,431305433804.0,972520302423.0
2021-08-10 06:00:00,431773001632.0,972197560000.0
2021-08-10 12:00:00,430801436104.0,974647365425.0
2021-08-10 18:00:00,438753842106.0,956643718041.0
2021-08-11 00:00:00,434859173645.0,965162089503.0
2021-08-11 06:00:00,420077041821.0,1001547908894.0
2021-08-11 12:00:00,417510665012.0,1014242711005.0
2021-08-11 18:00:00,416528382984.0,1017262309546.0
2021-08-12 00:00:00,422718519320.0,1003555717960.0
2021-08-12 06:00:00,423444288637.0,1002097754801.0
2021-08-12 12:00:00,422766558885.0,1003758006818.0
2021-08-12 18:00:00,430396971831.0,987324662594.0
2021-08-13 00:00:00,431863174091.0,982651334296.0
2021-08-13 06:00:00,426937731445.0,994638518945.0
2021-08-13 12:00:00,415084735800.0,1023303142379.0
2021-08-13 18:00:00,430394349870.0,1017356088832.0
2021-08-14 00:00:00,424115045106.0,1023265861041.0
2021-08-14 06:00:00,422484461435.0,1031502224783.0
2021-08-14 12:00:00,425661898067.0,1023589549312.0
2021-08-14 18:00:00,422929467078.0,1019684469072.0
2021-08-15 00:00:00,424153120967.0,1016856944338.0
2021-08-15 06:00:00,424594623518.0,1012902352710.0
2021-08-15 12:00:00,425101468022.0,996296539136.0
2021-08-15 18:00:00,426231051390.0,993590366086.0
2021-08-16 00:00:00,422977139262.0,999817538509.0
2021-08-16 06:00:00,421518464874.0,1005024587099.0
2021-08-16 12:00:00,422101870047.0,1003870827168.0
2021-08-16 18:00:00,422067857144.0,996168860704.0
2021-08-17 00:00:00,412645451297.0,1021400835623.0
2021-08-17 06:00:00,414019747900.0,1018294098431.0
2021-08-17 12:00:00,410561901311.0,1032802862493.0
2021-08-17 18:00:00,412551704900.0,1027177414899.0
2021-08-18 00:00:00,413960843208.0,1024959243528.0
2021-08-18 06:00:00,418052220449.0,1016804845171.0
2021-08-18 12:00:00,423300634329.0,1002976799568.0
2021-08-18 18:00:00,419243596859.0,1011022790850.0
2021-08-19 00:00:00,411925410019.0,1029080251953.0
2021-08-19 06:00:00,406893390553.0,1042497068619.0
2021-08-19 12:00:00,414424052506.0,1034554732652.0
2021-08-19 18:00:00,413576430291.0,1034644114109.0
2021-08-20 00:00:00,418233829172.0,1025708119715.0
2021-08-20 06:00:00,410111776731.0,1017221567037.0
2021-08-20 12:00:00,410840163583.0,1017447398045.0
2021-08-20 18:00:00,410204385052.0,1020131225188.0
2021-08-21 00:00:00,416777451743.0,1026663716301.0
2021-08-21 06:00:00,418518501374.0,1025598227047.0
2021-08-21 12:00:00,414549765585.0,1040191472345.0
2021-08-21 18:00:00,407047994900.0,1060045824736.0
2021-08-22 00:00:00,406338434933.0,1059431587410.0
2021-08-22 06:00:00,406766002383.0,1058933764945.0
2021-08-22 12:00:00,407445528643.0,1057184726117.0
2021-08-22 18:00:00,407455373176.0,1057195797552.0
