time,ATOM,IOV
2021-07-30 06:00:00,4160000.0,1001500044.0
2021-07-30 12:00:00,5160000.0,807880587.0
2021-07-30 18:00:00,,
2021-07-31 00:00:00,5314246.0,790806688.0
2021-07-31 06:00:00,,
2021-07-31 12:00:00,,
2021-07-31 18:00:00,,
2021-08-01 00:00:00,5324246.0,789325843.0
2021-08-01 06:00:00,,
2021-08-01 12:00:00,,
2021-08-01 18:00:00,,
2021-08-02 00:00:00,5324246.0,789325843.0
2021-08-02 06:00:00,811624245.0,120324266041.0
2021-08-02 12:00:00,,
2021-08-02 18:00:00,,
2021-08-03 00:00:00,5324246.0,789325843.0
2021-08-03 06:00:00,6324246.0,664831738.0
2021-08-03 12:00:00,1508184344.0,338643525525.0
2021-08-03 18:00:00,2352576981.0,327423294418.0
2021-08-04 00:00:00,4414467096.0,730332763418.0
2021-08-04 06:00:00,4464337602.0,808556641621.0
2021-08-04 12:00:00,4640484626.0,778310343935.0
2021-08-04 18:00:00,4949838354.0,773596920117.0
2021-08-05 00:00:00,5021734322.0,761664957919.0
2021-08-05 06:00:00,5153246472.0,762263939788.0
2021-08-05 12:00:00,5088257288.0,772409087638.0
2021-08-05 18:00:00,5120332901.0,766811279645.0
2021-08-06 00:00:00,5179978879.0,758919081142.0
2021-08-06 06:00:00,4462253202.0,854831597057.0
2021-08-06 12:00:00,4383418796.0,872562456830.0
2021-08-06 18:00:00,4415565560.0,705569951219.0
2021-08-07 00:00:00,3683027345.0,684824155489.0
2021-08-07 06:00:00,3122805941.0,627301486197.0
2021-08-07 12:00:00,3160992986.0,620243503406.0
2021-08-07 18:00:00,3224432623.0,607552572798.0
2021-08-08 00:00:00,3365827197.0,582165581832.0
2021-08-08 06:00:00,3396269222.0,578914163367.0
2021-08-08 12:00:00,3374198997.0,582996742262.0
2021-08-08 18:00:00,3270119715.0,601824518228.0
2021-08-09 00:00:00,3197220188.0,590746479488.0
2021-08-09 06:00:00,3268024431.0,578202102917.0
2021-08-09 12:00:00,3284126911.0,575378947181.0
2021-08-09 18:00:00,3347964160.0,559451405612.0
2021-08-10 00:00:00,3338304583.0,561523559308.0
2021-08-10 06:00:00,3403248836.0,550855044967.0
2021-08-10 12:00:00,3122140764.0,610368977974.0
2021-08-10 18:00:00,3223194491.0,591301983153.0
2021-08-11 00:00:00,3291271948.0,579300713570.0
2021-08-11 06:00:00,1347714555.0,268100302128.0
2021-08-11 12:00:00,1389798036.0,251678482180.0
2021-08-11 18:00:00,1408501227.0,248433267619.0
