time,ATOM,REGEN
2021-07-23 12:00:00,276133594267.0,1438103264906.0
2021-07-23 18:00:00,274670557019.0,1440656362650.0
2021-07-24 00:00:00,273159954585.0,1454831479680.0
2021-07-24 06:00:00,273643319555.0,1452325281811.0
2021-07-24 12:00:00,273540381274.0,1453302697416.0
2021-07-24 18:00:00,271032400491.0,1452015059888.0
2021-07-25 00:00:00,270043620109.0,1456717279334.0
2021-07-25 06:00:00,270470023151.0,1454580918789.0
2021-07-25 12:00:00,270430103205.0,1453563248626.0
2021-07-25 18:00:00,271746495139.0,1451315702378.0
2021-07-26 00:00:00,266585755797.0,1482180621740.0
2021-07-26 06:00:00,267375158547.0,1478363930555.0
2021-07-26 12:00:00,267035628705.0,1477928348946.0
2021-07-26 18:00:00,267333187766.0,1476317728004.0
2021-07-27 00:00:00,258919978154.0,1526577806779.0
2021-07-27 06:00:00,260457713767.0,1521414337079.0
2021-07-27 12:00:00,261926655679.0,1512914813085.0
2021-07-27 18:00:00,256354248532.0,1531729306014.0
2021-07-28 00:00:00,255580474809.0,1543017011937.0
2021-07-28 06:00:00,256273365190.0,1539036602845.0
2021-07-28 12:00:00,256360724252.0,1537973631545.0
2021-07-28 18:00:00,257375669130.0,1532796078854.0
2021-07-29 00:00:00,255844227277.0,1522350673340.0
2021-07-29 06:00:00,255891961433.0,1522457447425.0
2021-07-29 12:00:00,255942628147.0,1522634785029.0
2021-07-29 18:00:00,257034928032.0,1517383383756.0
2021-07-30 00:00:00,261335929958.0,1574296055743.0
2021-07-30 06:00:00,262067816751.0,1570885005031.0
2021-07-30 12:00:00,260564853739.0,1580082326125.0
2021-07-30 18:00:00,270465843439.0,1589110337867.0
2021-07-31 00:00:00,270124101055.0,1591527133052.0
2021-07-31 06:00:00,269271640457.0,1594177442503.0
2021-07-31 12:00:00,268344578021.0,1600129892942.0
2021-07-31 18:00:00,270416859265.0,1604538530645.0
2021-08-01 00:00:00,282150087068.0,1619447368787.0
2021-08-01 06:00:00,282382833294.0,1619897549859.0
2021-08-01 12:00:00,294093820276.0,1633041297978.0
2021-08-01 18:00:00,290488048603.0,1654773848337.0
2021-08-02 00:00:00,287326413727.0,1671164127311.0
2021-08-02 06:00:00,285806539181.0,1680702275700.0
2021-08-02 12:00:00,285503478667.0,1682378168050.0
2021-08-02 18:00:00,286046613087.0,1679291331070.0
2021-08-03 00:00:00,288113855275.0,1672381230770.0
2021-08-03 06:00:00,288191285822.0,1672556243412.0
2021-08-03 12:00:00,287723522391.0,1675285818704.0
2021-08-03 18:00:00,288897707271.0,1669214540170.0
2021-08-04 00:00:00,285426495776.0,1694198686087.0
2021-08-04 06:00:00,285925710459.0,1691222166849.0
2021-08-04 12:00:00,286666387762.0,1696888337020.0
2021-08-04 18:00:00,286289445364.0,1699036228147.0
2021-08-05 00:00:00,288476252339.0,1744529293433.0
2021-08-05 06:00:00,288430633835.0,1744855812950.0
2021-08-05 12:00:00,286482910516.0,1732461750237.0
2021-08-05 18:00:00,284049871622.0,1748354475406.0
2021-08-06 00:00:00,296489013827.0,1763426830057.0
2021-08-06 06:00:00,296849078431.0,1761179681766.0
2021-08-06 12:00:00,296875375066.0,1761753945122.0
2021-08-06 18:00:00,296929149951.0,1761166221525.0
2021-08-07 00:00:00,299177292270.0,1887180519331.0
2021-08-07 06:00:00,299915214334.0,1882064262511.0
2021-08-07 12:00:00,299749061508.0,1884425067480.0
2021-08-07 18:00:00,300047066814.0,1881555751264.0
