time,AKT,ATOM
2021-06-19 12:00:00,50766407506.0,7559664232.0
2021-06-19 18:00:00,53547236853.0,8061574708.0
2021-06-20 00:00:00,173598359028.0,23008630791.0
2021-06-20 06:00:00,189938081406.0,27613601191.0
2021-06-20 12:00:00,204313072482.0,25256375292.0
2021-06-20 18:00:00,200309218252.0,26895865448.0
2021-06-21 00:00:00,212441914518.0,27378326063.0
2021-06-21 06:00:00,211814840936.0,28681366611.0
2021-06-21 12:00:00,218063889497.0,27781218613.0
2021-06-21 18:00:00,286587981355.0,40508701311.0
2021-06-22 00:00:00,290808087272.0,44212475042.0
2021-06-22 06:00:00,295338747384.0,42883100046.0
2021-06-22 12:00:00,291379016727.0,46312730279.0
2021-06-22 18:00:00,313606062215.0,45666663352.0
2021-06-23 00:00:00,315498876953.0,49761297260.0
2021-06-23 06:00:00,325055015731.0,50610822477.0
2021-06-23 12:00:00,335035121053.0,50477605856.0
2021-06-23 18:00:00,506575613145.0,77838337949.0
2021-06-24 00:00:00,718746616179.0,118283522871.0
2021-06-24 06:00:00,756619766601.0,128199190490.0
2021-06-24 12:00:00,877621022693.0,153110734766.0
2021-06-24 18:00:00,927917041320.0,163588567974.0
2021-06-25 00:00:00,1086804048947.0,225686411646.0
2021-06-25 06:00:00,1152118503795.0,247717678363.0
2021-06-25 12:00:00,1186372638051.0,249274640978.0
2021-06-25 18:00:00,1270652316706.0,276266814954.0
2021-06-26 00:00:00,1288635756754.0,290015228362.0
2021-06-26 06:00:00,1322152201627.0,297660038016.0
2021-06-26 12:00:00,1362232066843.0,289288828192.0
2021-06-26 18:00:00,1398266781859.0,288619408867.0
2021-06-27 00:00:00,1429087538292.0,290156904531.0
2021-06-27 06:00:00,1449581766011.0,283626891902.0
2021-06-27 12:00:00,1456268678977.0,294306966388.0
2021-06-27 18:00:00,1504596947120.0,291539927003.0
2021-06-28 00:00:00,1549849584596.0,296228969181.0
2021-06-28 06:00:00,1574741701760.0,297555881036.0
2021-06-28 12:00:00,1594439992310.0,298248806935.0
2021-06-28 18:00:00,1662355879249.0,308851008941.0
2021-06-29 00:00:00,1713029729064.0,316036998636.0
2021-06-29 06:00:00,1761056238113.0,311130803940.0
2021-06-29 12:00:00,1800945845825.0,300322136650.0
2021-06-29 18:00:00,1834251156887.0,319302940002.0
2021-06-30 00:00:00,1836188687453.0,314677729553.0
2021-06-30 06:00:00,1866533597465.0,314773615873.0
2021-06-30 12:00:00,1911581959352.0,311624031744.0
2021-06-30 18:00:00,1948660082850.0,319250704400.0
2021-07-01 00:00:00,2046418067912.0,319751989541.0
2021-07-01 06:00:00,2052989711524.0,329466316247.0
2021-07-01 12:00:00,2070051492920.0,337378985239.0
2021-07-01 18:00:00,2140469090922.0,335571621209.0
2021-07-02 00:00:00,2139684863797.0,340680092332.0
2021-07-02 06:00:00,2151552371924.0,340605404216.0
2021-07-02 12:00:00,2156885373156.0,340937163395.0
2021-07-02 18:00:00,2187611853427.0,344071156748.0
2021-07-03 00:00:00,2196369336283.0,344087588232.0
2021-07-03 06:00:00,2217516030290.0,341243201693.0
2021-07-03 12:00:00,2241086623263.0,336236008349.0
2021-07-03 18:00:00,2250855531631.0,339417281626.0
2021-07-04 00:00:00,2266132456489.0,343409318134.0
2021-07-04 06:00:00,2251695727836.0,348176239010.0
2021-07-04 12:00:00,2287546435072.0,338301206456.0
2021-07-04 18:00:00,2315253149370.0,335665412708.0
2021-07-05 00:00:00,2298070134630.0,341456224923.0
2021-07-05 06:00:00,2305167598531.0,338913305012.0
2021-07-05 12:00:00,2340889129713.0,332722265431.0
2021-07-05 18:00:00,2358511801990.0,334741658089.0
2021-07-06 00:00:00,2370201620346.0,330980078849.0
2021-07-06 06:00:00,2387791633583.0,332865948294.0
2021-07-06 12:00:00,2401286574785.0,332292760528.0
2021-07-06 18:00:00,2408144946709.0,333207082664.0
2021-07-07 00:00:00,2423265644938.0,331213192586.0
2021-07-07 06:00:00,2441956181991.0,330148083496.0
2021-07-07 12:00:00,2439358033411.0,330980001731.0
2021-07-07 18:00:00,2455613301058.0,328713447563.0
2021-07-08 00:00:00,2468476684220.0,330284349468.0
2021-07-08 06:00:00,2468462537334.0,333075107294.0
2021-07-08 12:00:00,2469161571364.0,333441532019.0
2021-07-08 18:00:00,2499794906898.0,326399030074.0
2021-07-09 00:00:00,2518262654568.0,330629902725.0
2021-07-09 06:00:00,2534447087816.0,330472416309.0
2021-07-09 12:00:00,2606751782919.0,330884331651.0
2021-07-09 18:00:00,2638162641820.0,323010207440.0
2021-07-10 00:00:00,2647530118085.0,322550380282.0
2021-07-10 06:00:00,2647728187206.0,322709783147.0
2021-07-10 12:00:00,2664541215550.0,314550139718.0
2021-07-10 18:00:00,2668183306541.0,316315577543.0
2021-07-11 00:00:00,2679666268262.0,313470870537.0
2021-07-11 06:00:00,2683340842399.0,313926881054.0
2021-07-11 12:00:00,2693380604979.0,311627172887.0
2021-07-11 18:00:00,2695301735639.0,310695875999.0
2021-07-12 00:00:00,2699954944509.0,311631783094.0
2021-07-12 06:00:00,2704905721642.0,311146457491.0
2021-07-12 12:00:00,2720156145337.0,311470897575.0
2021-07-12 18:00:00,2714771914506.0,314775335915.0
2021-07-13 00:00:00,2742636717782.0,311846681691.0
2021-07-13 06:00:00,2741379184787.0,314124512521.0
2021-07-13 12:00:00,2735997009825.0,309544549768.0
2021-07-13 18:00:00,2776892685491.0,317445094336.0
2021-07-14 00:00:00,2768659190620.0,320966629239.0
2021-07-14 06:00:00,2757587779878.0,322248987725.0
2021-07-14 12:00:00,2777132040276.0,318199761151.0
2021-07-14 18:00:00,2820760037831.0,319349629871.0
2021-07-15 00:00:00,2821086942324.0,320015042674.0
2021-07-15 06:00:00,2823159456364.0,320386666595.0
2021-07-15 12:00:00,2815086853997.0,324242282433.0
2021-07-15 18:00:00,2829860985955.0,328013928597.0
2021-07-16 00:00:00,2861342923699.0,331421753837.0
2021-07-16 06:00:00,2983872585202.0,342485257377.0
2021-07-16 12:00:00,2990056350715.0,343398211817.0
2021-07-16 18:00:00,3054167951759.0,339287563869.0
2021-07-17 00:00:00,3043423861636.0,353112388973.0
2021-07-17 06:00:00,3063054295903.0,350239114072.0
2021-07-17 12:00:00,3059561251661.0,353555827283.0
2021-07-17 18:00:00,3061694110164.0,355822038790.0
2021-07-18 00:00:00,3075223648664.0,357736010840.0
2021-07-18 06:00:00,3088662716252.0,357524618207.0
2021-07-18 12:00:00,3086622714453.0,360525377818.0
2021-07-18 18:00:00,3069023960538.0,365851120293.0
2021-07-19 00:00:00,3074692003750.0,370820337615.0
2021-07-19 06:00:00,3067739151481.0,372788955877.0
2021-07-19 12:00:00,3078319646299.0,370945146146.0
2021-07-19 18:00:00,3082164390885.0,373660514281.0
2021-07-20 00:00:00,3113043811409.0,371710437459.0
2021-07-20 06:00:00,3151966315980.0,364448731635.0
2021-07-20 12:00:00,3199646718937.0,359295017810.0
2021-07-20 18:00:00,3197070327486.0,362653003770.0
2021-07-21 00:00:00,3212903345357.0,360698050047.0
2021-07-21 06:00:00,3226076178912.0,358353030142.0
2021-07-21 12:00:00,3243144524530.0,357121505113.0
2021-07-21 18:00:00,3205384122456.0,366251459066.0
2021-07-22 00:00:00,3214973250455.0,367667795891.0
2021-07-22 06:00:00,3224872126839.0,365886646128.0
2021-07-22 12:00:00,3259336882226.0,362624465783.0
2021-07-22 18:00:00,3301612328610.0,355788362449.0
2021-07-23 00:00:00,3329302637129.0,349627591804.0
2021-07-23 06:00:00,3324248097846.0,352821767482.0
2021-07-23 12:00:00,3320800799887.0,354566221250.0
2021-07-23 18:00:00,3312547410390.0,356986481044.0
2021-07-24 00:00:00,3281549180722.0,363860382737.0
2021-07-24 06:00:00,3252952284122.0,374830196851.0
2021-07-24 12:00:00,3240269323045.0,378096988703.0
2021-07-24 18:00:00,3218306858347.0,378430411493.0
2021-07-25 00:00:00,3208864250047.0,381020817788.0
2021-07-25 06:00:00,3197202637094.0,383573877296.0
2021-07-25 12:00:00,3187277133779.0,386602248635.0
2021-07-25 18:00:00,3215242100862.0,396413750589.0
2021-07-26 00:00:00,3222639612596.0,396129617872.0
2021-07-26 06:00:00,3239288079765.0,391508567893.0
2021-07-26 12:00:00,3237499872545.0,392814716079.0
2021-07-26 18:00:00,3231896396392.0,394067359907.0
2021-07-27 00:00:00,3230978938478.0,394098410868.0
2021-07-27 06:00:00,3225850885392.0,396957925799.0
2021-07-27 12:00:00,3243664123481.0,395664409693.0
2021-07-27 18:00:00,3251436417873.0,386295355035.0
2021-07-28 00:00:00,3275441518210.0,382362548479.0
2021-07-28 06:00:00,3268826574008.0,382219823113.0
2021-07-28 12:00:00,3291506400655.0,380492285067.0
2021-07-28 18:00:00,3299827725750.0,380848232296.0
2021-07-29 00:00:00,3295164263892.0,382208463557.0
2021-07-29 06:00:00,3298325390514.0,382064441129.0
2021-07-29 12:00:00,3308825442693.0,378639492851.0
2021-07-29 18:00:00,3305446198652.0,379337727361.0
2021-07-30 00:00:00,3281195981924.0,378108326155.0
2021-07-30 06:00:00,3291987896383.0,377418800251.0
2021-07-30 12:00:00,3292628237477.0,378158320574.0
2021-07-30 18:00:00,3296980918015.0,377378481602.0
2021-07-31 00:00:00,3313008074021.0,373192114318.0
2021-07-31 06:00:00,3326133015942.0,370219203440.0
