time,OSMO,REGEN
2021-06-29 12:00:00,500000000.0,996000000.0
2021-06-29 18:00:00,761796923.0,1562008976.0
2021-06-30 00:00:00,4928666746.0,10340091513.0
2021-06-30 06:00:00,5159357073.0,10170261662.0
2021-06-30 12:00:00,5163832787.0,10161835878.0
2021-06-30 18:00:00,5298687694.0,9951399988.0
2021-07-01 00:00:00,8058006303.0,14135480389.0
2021-07-01 06:00:00,8442136751.0,14598256609.0
2021-07-01 12:00:00,9523653281.0,16127702288.0
2021-07-01 18:00:00,10610178834.0,16929272702.0
2021-07-02 00:00:00,20121113161.0,31556812263.0
2021-07-02 06:00:00,32594065892.0,50195644998.0
2021-07-02 12:00:00,34184272222.0,51272974693.0
2021-07-02 18:00:00,64998225339.0,92709925870.0
2021-07-03 00:00:00,215477633856.0,281757171541.0
2021-07-03 06:00:00,342254137929.0,406419668424.0
2021-07-03 12:00:00,398056823499.0,459369826430.0
2021-07-03 18:00:00,458561814805.0,540068014034.0
2021-07-04 00:00:00,494283690991.0,550279981069.0
2021-07-04 06:00:00,502999816982.0,557051275469.0
2021-07-04 12:00:00,555664623754.0,592385683143.0
2021-07-04 18:00:00,588879830963.0,599555727442.0
2021-07-05 00:00:00,613352153482.0,606020659814.0
2021-07-05 06:00:00,627851503906.0,615059343325.0
2021-07-05 12:00:00,636753243910.0,612303613599.0
2021-07-05 18:00:00,676515389275.0,620705761513.0
2021-07-06 00:00:00,711387526984.0,651779255291.0
2021-07-06 06:00:00,722125596702.0,648235671651.0
2021-07-06 12:00:00,724636516711.0,658099696138.0
2021-07-06 18:00:00,743372022741.0,669879120178.0
2021-07-07 00:00:00,772887131111.0,666364925635.0
2021-07-07 06:00:00,773903436629.0,681746024616.0
2021-07-07 12:00:00,777438065368.0,683342083888.0
2021-07-07 18:00:00,818393485696.0,687001528871.0
2021-07-08 00:00:00,831235943450.0,690447270876.0
2021-07-08 06:00:00,836797388349.0,686181388446.0
2021-07-08 12:00:00,837607573965.0,688303171783.0
2021-07-08 18:00:00,849055174636.0,687782782616.0
2021-07-09 00:00:00,868072000544.0,678505070353.0
2021-07-09 06:00:00,878812491342.0,671392486692.0
2021-07-09 12:00:00,896218120178.0,656513857313.0
2021-07-09 18:00:00,908168064771.0,649052016955.0
2021-07-10 00:00:00,913363518108.0,645721316644.0
2021-07-10 06:00:00,914433838999.0,644741017103.0
2021-07-10 12:00:00,918351608289.0,645326177555.0
2021-07-10 18:00:00,916680170385.0,648081145887.0
2021-07-11 00:00:00,918134791826.0,642293554200.0
2021-07-11 06:00:00,918608592850.0,640834271864.0
2021-07-11 12:00:00,921515154181.0,638976177319.0
2021-07-11 18:00:00,920193796180.0,640300340084.0
2021-07-12 00:00:00,872802317866.0,634072500053.0
2021-07-12 06:00:00,698075493736.0,551642620927.0
2021-07-12 12:00:00,699152664212.0,548292173139.0
2021-07-12 18:00:00,701234787599.0,547224081390.0
2021-07-13 00:00:00,714629072568.0,538834367885.0
2021-07-13 06:00:00,717504930829.0,537099217198.0
2021-07-13 12:00:00,716983966219.0,537522235055.0
2021-07-13 18:00:00,719119798235.0,536581749742.0
2021-07-14 00:00:00,732659957198.0,534153501418.0
2021-07-14 06:00:00,735581858772.0,533904961107.0
2021-07-14 12:00:00,739431709725.0,531657370913.0
2021-07-14 18:00:00,757294001106.0,527472505255.0
2021-07-15 00:00:00,761089776767.0,526868901194.0
2021-07-15 06:00:00,732964076104.0,506159711684.0
2021-07-15 12:00:00,726130502759.0,505088304923.0
2021-07-15 18:00:00,728895904283.0,502282479805.0
