time,DVPN,OSMO
2021-07-23 12:00:00,77287809488361.0,844326348892.0
2021-07-23 18:00:00,78574803147603.0,863556036380.0
2021-07-24 00:00:00,79403007478136.0,868791623628.0
2021-07-24 06:00:00,81990499718305.0,883619563606.0
2021-07-24 12:00:00,82965542011707.0,907496746696.0
2021-07-24 18:00:00,85500284926157.0,926894243575.0
2021-07-25 00:00:00,88716239725448.0,999845005397.0
2021-07-25 06:00:00,89166454975660.0,996933949574.0
2021-07-25 12:00:00,90055299024828.0,996992183174.0
2021-07-25 18:00:00,91252223275911.0,1009274383391.0
2021-07-26 00:00:00,91470821884529.0,1017921421894.0
2021-07-26 06:00:00,92208438285502.0,1010076546440.0
2021-07-26 12:00:00,94290442096643.0,1011183356238.0
2021-07-26 18:00:00,94451596661599.0,1015872157287.0
2021-07-27 00:00:00,99457017369399.0,1086467979157.0
2021-07-27 06:00:00,100250854430745.0,1091535073182.0
2021-07-27 12:00:00,100594289275068.0,1091958540913.0
2021-07-27 18:00:00,100838336055324.0,1098547001767.0
2021-07-28 00:00:00,101435028233922.0,1111471131587.0
2021-07-28 06:00:00,101898533842551.0,1112855834211.0
2021-07-28 12:00:00,102283868843862.0,1117838224710.0
2021-07-28 18:00:00,102374071233697.0,1123911462089.0
2021-07-29 00:00:00,102638826228580.0,1132536469420.0
2021-07-29 06:00:00,102483476941929.0,1129220999868.0
2021-07-29 12:00:00,102668942194998.0,1137534544734.0
2021-07-29 18:00:00,103799026517313.0,1142669951014.0
2021-07-30 00:00:00,105119811174495.0,1150245579735.0
2021-07-30 06:00:00,105712010441273.0,1150599792339.0
2021-07-30 12:00:00,106011633172735.0,1149160527562.0
2021-07-30 18:00:00,106861116473364.0,1160845088365.0
2021-07-31 00:00:00,106834599254406.0,1164899831665.0
2021-07-31 06:00:00,114231326557189.0,1093321585631.0
2021-07-31 12:00:00,115402507849620.0,1108995293393.0
2021-07-31 18:00:00,116712539631290.0,1139183836341.0
2021-08-01 00:00:00,116179051705305.0,1141842508527.0
2021-08-01 06:00:00,116888146826540.0,1143988031166.0
2021-08-01 12:00:00,118035911868377.0,1144876065665.0
2021-08-01 18:00:00,120679332891979.0,1175841218970.0
2021-08-02 00:00:00,120437826371873.0,1184632710215.0
2021-08-02 06:00:00,120559291773125.0,1192593478338.0
2021-08-02 12:00:00,121853479594600.0,1185843426798.0
2021-08-02 18:00:00,122555896774900.0,1196184271592.0
2021-08-03 00:00:00,123142687532667.0,1203838742076.0
2021-08-03 06:00:00,123426945533851.0,1204696076026.0
2021-08-03 12:00:00,123828168006623.0,1205680252217.0
2021-08-03 18:00:00,125714184725405.0,1194498668926.0
2021-08-04 00:00:00,128776612220490.0,1208006827329.0
2021-08-04 06:00:00,132282918749081.0,1223723052002.0
2021-08-04 12:00:00,132646070890916.0,1225390496350.0
2021-08-04 18:00:00,131025130487236.0,1218048551430.0
2021-08-05 00:00:00,132137441310901.0,1212325359762.0
2021-08-05 06:00:00,132319527233701.0,1218868351435.0
2021-08-05 12:00:00,133477449867574.0,1218688944928.0
2021-08-05 18:00:00,133024461384825.0,1236938316945.0
2021-08-06 00:00:00,130707613280628.0,1267589047668.0
2021-08-06 06:00:00,131096565009435.0,1268504556335.0
2021-08-06 12:00:00,131250633864534.0,1274909954777.0
2021-08-06 18:00:00,132200550604284.0,1277268863036.0
2021-08-07 00:00:00,131654589444040.0,1284245286049.0
2021-08-07 06:00:00,132010647325207.0,1287169903262.0
2021-08-07 12:00:00,132241550658981.0,1293027478999.0
2021-08-07 18:00:00,134063266468242.0,1304994895941.0
2021-08-08 00:00:00,134476779351624.0,1295276114338.0
2021-08-08 06:00:00,134706037447495.0,1295764634016.0
2021-08-08 12:00:00,134326530348309.0,1297248858839.0
2021-08-08 18:00:00,135927669067561.0,1318768782646.0
2021-08-09 00:00:00,136080382246467.0,1334641362185.0
2021-08-09 06:00:00,136136432301259.0,1335682086974.0
2021-08-09 12:00:00,136731489139835.0,1354484616073.0
2021-08-09 18:00:00,137275462117971.0,1361355447893.0
2021-08-10 00:00:00,137945512212975.0,1365197278979.0
2021-08-10 06:00:00,138269554195399.0,1364881091190.0
2021-08-10 12:00:00,138263299757309.0,1358337480738.0
2021-08-10 18:00:00,141100503209097.0,1378091161790.0
2021-08-11 00:00:00,141243992046099.0,1386795651841.0
2021-08-11 06:00:00,141038395861657.0,1390588761895.0
2021-08-11 12:00:00,142818077826841.0,1364268373945.0
2021-08-11 18:00:00,146946269500069.0,1403846418638.0
2021-08-12 00:00:00,147708581892652.0,1413795356432.0
2021-08-12 06:00:00,148627252777010.0,1413420282402.0
2021-08-12 12:00:00,148897995317355.0,1419535066442.0
2021-08-12 18:00:00,149630909635408.0,1427750543751.0
2021-08-13 00:00:00,152673776120222.0,1397879254847.0
2021-08-13 06:00:00,152837803323996.0,1399374724497.0
2021-08-13 12:00:00,153648941900032.0,1401297485711.0
2021-08-13 18:00:00,156131363910370.0,1398482559455.0
2021-08-14 00:00:00,156225128686903.0,1414502481898.0
2021-08-14 06:00:00,156488060210030.0,1419400442451.0
2021-08-14 12:00:00,157255594476193.0,1423543979323.0
2021-08-14 18:00:00,158238913515765.0,1425806669548.0
2021-08-15 00:00:00,159707777185360.0,1437578551687.0
2021-08-15 06:00:00,160374842134590.0,1432352468119.0
2021-08-15 12:00:00,161516042763286.0,1438898459818.0
2021-08-15 18:00:00,162849234710344.0,1441960253932.0
2021-08-16 00:00:00,165136152640826.0,1458680105567.0
2021-08-16 06:00:00,166122902637329.0,1459408753994.0
2021-08-16 12:00:00,167269804409796.0,1458923380739.0
2021-08-16 18:00:00,168821572838484.0,1468969125216.0
2021-08-17 00:00:00,167961521183390.0,1505290955903.0
2021-08-17 06:00:00,167524664227527.0,1505063123832.0
2021-08-17 12:00:00,167895566657174.0,1504693981997.0
2021-08-17 18:00:00,168393833189662.0,1507690739146.0
2021-08-18 00:00:00,169031786661553.0,1525052587676.0
2021-08-18 06:00:00,169766449966089.0,1523298487039.0
2021-08-18 12:00:00,171593748464134.0,1531833433841.0
2021-08-18 18:00:00,174176706864587.0,1529882526450.0
2021-08-19 00:00:00,173920591018288.0,1529331972044.0
2021-08-19 06:00:00,174299400873709.0,1529554325258.0
2021-08-19 12:00:00,175800671829000.0,1541764709735.0
2021-08-19 18:00:00,176753515896401.0,1544556564830.0
2021-08-20 00:00:00,179829316368856.0,1524915600710.0
2021-08-20 06:00:00,181476190562642.0,1530677292236.0
2021-08-20 12:00:00,181479031707015.0,1533194054212.0
2021-08-20 18:00:00,182619434229472.0,1538000803458.0
2021-08-21 00:00:00,196764854980411.0,1451847393335.0
2021-08-21 06:00:00,196486470950045.0,1467422520687.0
2021-08-21 12:00:00,197094571124565.0,1469778495317.0
2021-08-21 18:00:00,199955898203267.0,1486471778246.0
2021-08-22 00:00:00,200742636270003.0,1479425418313.0
2021-08-22 06:00:00,201950900105233.0,1482010062742.0
2021-08-22 12:00:00,202086446570733.0,1484366351845.0
2021-08-22 18:00:00,202654344605460.0,1491530431887.0
