time,ATOM,DVPN
2021-06-19 12:00:00,38262017.0,296031520464.0
2021-06-19 18:00:00,101360086.0,235891061204.0
2021-06-20 00:00:00,4287633630.0,7719650389460.0
2021-06-20 06:00:00,4091838109.0,8039533066111.0
2021-06-20 12:00:00,4036393896.0,8366143045186.0
2021-06-20 18:00:00,4668584230.0,7846724074839.0
2021-06-21 00:00:00,4505990626.0,7874931177973.0
2021-06-21 06:00:00,5190251591.0,8571083472795.0
2021-06-21 12:00:00,5048532603.0,8685400093041.0
2021-06-21 18:00:00,4883384750.0,9001168653626.0
2021-06-22 00:00:00,5184699916.0,9123277345847.0
2021-06-22 06:00:00,5387338278.0,9011009812525.0
2021-06-22 12:00:00,6247378929.0,8583721238237.0
2021-06-22 18:00:00,7837527283.0,10360024428809.0
2021-06-23 00:00:00,7266325363.0,11391120351633.0
2021-06-23 06:00:00,42508415455.0,59139833732890.0
2021-06-23 12:00:00,43890975267.0,62113025166172.0
2021-06-23 18:00:00,38793456792.0,66246852658482.0
2021-06-24 00:00:00,46194025737.0,70908457201953.0
2021-06-24 06:00:00,54488277027.0,71167709156908.0
2021-06-24 12:00:00,60604908423.0,71277208424832.0
2021-06-24 18:00:00,79755989675.0,88030152400461.0
2021-06-25 00:00:00,104553184592.0,85776342598323.0
2021-06-25 06:00:00,112413702745.0,87864039713659.0
2021-06-25 12:00:00,111926323459.0,89622128161147.0
2021-06-25 18:00:00,109026706708.0,94707147066993.0
2021-06-26 00:00:00,109068220487.0,101424660708998.0
2021-06-26 06:00:00,110312555639.0,103012754252073.0
2021-06-26 12:00:00,110503550286.0,103971038952786.0
2021-06-26 18:00:00,115390910399.0,105380217776939.0
2021-06-27 00:00:00,114988529146.0,106445431972489.0
2021-06-27 06:00:00,114914476800.0,106725669460161.0
2021-06-27 12:00:00,121881966153.0,110541511198142.0
2021-06-27 18:00:00,121934822875.0,111157378993780.0
2021-06-28 00:00:00,126651245374.0,114285907537232.0
2021-06-28 06:00:00,129357119122.0,114796746344384.0
2021-06-28 12:00:00,128961735865.0,115432873900915.0
2021-06-28 18:00:00,125614410996.0,120091103181951.0
2021-06-29 00:00:00,129768793119.0,124876194003727.0
2021-06-29 06:00:00,128489120442.0,126652079154464.0
2021-06-29 12:00:00,129164338750.0,127118643640926.0
2021-06-29 18:00:00,147689087968.0,125826857509245.0
2021-06-30 00:00:00,151180098483.0,129163752047247.0
2021-06-30 06:00:00,149727139743.0,131526397168981.0
2021-06-30 12:00:00,145739840833.0,133564790151296.0
2021-06-30 18:00:00,146687831760.0,138572998765482.0
2021-07-01 00:00:00,143825929562.0,139715191208011.0
2021-07-01 06:00:00,147502352751.0,141443660017044.0
2021-07-01 12:00:00,148723372388.0,141744127054349.0
2021-07-01 18:00:00,152394284800.0,149970914456572.0
2021-07-02 00:00:00,153231039229.0,151610842534193.0
2021-07-02 06:00:00,151484359963.0,152490966505356.0
2021-07-02 12:00:00,148570804599.0,152125783875922.0
2021-07-02 18:00:00,162242021976.0,168814078736675.0
2021-07-03 00:00:00,164173204552.0,169882211831752.0
2021-07-03 06:00:00,164162039916.0,170071334153514.0
2021-07-03 12:00:00,165862604370.0,178980548611463.0
2021-07-03 18:00:00,171266162540.0,185147554257331.0
2021-07-04 00:00:00,170900572169.0,185704997624116.0
2021-07-04 06:00:00,171338713237.0,185817567628802.0
