time,IRIS,OSMO
2021-07-23 12:00:00,7187301145204.0,296094309963.0
2021-07-23 18:00:00,7099030008357.0,299915757527.0
2021-07-24 00:00:00,7051489940356.0,302578615604.0
2021-07-24 06:00:00,7099788078460.0,302857125011.0
2021-07-24 12:00:00,7141780254815.0,304040961340.0
2021-07-24 18:00:00,7233099781002.0,301387050155.0
2021-07-25 00:00:00,7793058343215.0,340006085076.0
2021-07-25 06:00:00,7847277116426.0,338412440156.0
2021-07-25 12:00:00,7817000128319.0,337795497070.0
2021-07-25 18:00:00,8150199795903.0,347594157947.0
2021-07-26 00:00:00,8098182031576.0,350669857776.0
2021-07-26 06:00:00,8202376086653.0,346500349279.0
2021-07-26 12:00:00,8317956725222.0,341389525453.0
2021-07-26 18:00:00,8387668216179.0,344137719809.0
2021-07-27 00:00:00,8396274518868.0,346087413098.0
2021-07-27 06:00:00,8442093448283.0,345083488561.0
2021-07-27 12:00:00,8330983295912.0,349850211627.0
2021-07-27 18:00:00,8351770254549.0,353696169043.0
2021-07-28 00:00:00,8339058997936.0,360951341323.0
2021-07-28 06:00:00,8434341792220.0,368331774721.0
2021-07-28 12:00:00,8556573428703.0,363325932282.0
2021-07-28 18:00:00,8661463536462.0,360730973538.0
2021-07-29 00:00:00,8667089722508.0,360388689742.0
2021-07-29 06:00:00,8673319892747.0,364481496994.0
2021-07-29 12:00:00,8732724077427.0,362176829065.0
2021-07-29 18:00:00,8731882744883.0,364595257314.0
2021-07-30 00:00:00,8771661267410.0,363969823279.0
2021-07-30 06:00:00,8792059189612.0,364139363409.0
2021-07-30 12:00:00,8824762138105.0,363756286219.0
2021-07-30 18:00:00,8865400348845.0,362704197298.0
2021-07-31 00:00:00,8866733237464.0,365010430310.0
2021-07-31 06:00:00,8783531818199.0,368216748712.0
2021-07-31 12:00:00,8803644199788.0,369238790879.0
2021-07-31 18:00:00,8881032662516.0,369380330274.0
2021-08-01 00:00:00,8771727014273.0,374459201589.0
2021-08-01 06:00:00,8731637632657.0,376032132747.0
2021-08-01 12:00:00,10854800924018.0,459917316916.0
2021-08-01 18:00:00,10886669446160.0,459033549088.0
2021-08-02 00:00:00,10764786287939.0,464968276569.0
2021-08-02 06:00:00,10734641583612.0,467341630704.0
2021-08-02 12:00:00,10755265064176.0,467415804452.0
2021-08-02 18:00:00,10745481938266.0,463167625014.0
2021-08-03 00:00:00,10495419305275.0,473428827382.0
2021-08-03 06:00:00,10429048872340.0,477034769033.0
2021-08-03 12:00:00,10415073375594.0,478588807180.0
2021-08-03 18:00:00,10366724723385.0,480828753018.0
2021-08-04 00:00:00,10539614522782.0,473993490259.0
2021-08-04 06:00:00,10514432712495.0,475137322544.0
2021-08-04 12:00:00,10514236649033.0,475163517131.0
2021-08-04 18:00:00,10438690209532.0,468448972091.0
2021-08-05 00:00:00,10415698472246.0,469750363959.0
2021-08-05 06:00:00,10428889367113.0,469240765999.0
2021-08-05 12:00:00,10146238540767.0,482368545599.0
2021-08-05 18:00:00,10116279102562.0,485597736850.0
2021-08-06 00:00:00,9971231735131.0,492903833005.0
2021-08-06 06:00:00,10040638971150.0,490044338317.0
2021-08-06 12:00:00,10057227344973.0,489298508128.0
2021-08-06 18:00:00,10122793166024.0,486691780401.0
2021-08-07 00:00:00,10016296502411.0,486642317710.0
2021-08-07 06:00:00,9713689106541.0,501905780020.0
2021-08-07 12:00:00,9738397201016.0,499660519936.0
2021-08-07 18:00:00,9657704018185.0,504069403423.0
2021-08-08 00:00:00,9652040870650.0,504590208409.0
2021-08-08 06:00:00,9789760242252.0,497130366098.0
2021-08-08 12:00:00,9841690274372.0,497086353098.0
2021-08-08 18:00:00,9709971392101.0,504127424618.0
2021-08-09 00:00:00,9731797180388.0,503271622531.0
2021-08-09 06:00:00,9735114278748.0,503583664766.0
2021-08-09 12:00:00,11911108124259.0,610585797443.0
2021-08-09 18:00:00,11780804662280.0,617739873620.0
2021-08-10 00:00:00,11699730715260.0,622371684824.0
2021-08-10 06:00:00,11722250029571.0,621358323432.0
2021-08-10 12:00:00,11663223274830.0,630973016337.0
2021-08-10 18:00:00,11815941102826.0,622997369550.0
2021-08-11 00:00:00,11721111405027.0,627762084259.0
2021-08-11 06:00:00,11822438074565.0,623516393477.0
2021-08-11 12:00:00,11999964109186.0,614402966347.0
2021-08-11 18:00:00,11990928250258.0,613871367729.0
2021-08-12 00:00:00,12007274559136.0,613262938027.0
2021-08-12 06:00:00,12054922304462.0,610867716504.0
2021-08-12 12:00:00,12138965888027.0,608127277303.0
2021-08-12 18:00:00,12103606627986.0,608212488791.0
2021-08-13 00:00:00,12154679146361.0,605993078397.0
2021-08-13 06:00:00,12158919974354.0,605411563575.0
2021-08-13 12:00:00,12177235219305.0,606995095229.0
2021-08-13 18:00:00,12609259710983.0,603988930082.0
2021-08-14 00:00:00,12454530097566.0,611153401735.0
2021-08-14 06:00:00,12520063612339.0,608117819724.0
2021-08-14 12:00:00,12071842229402.0,630742885357.0
2021-08-14 18:00:00,12307933631157.0,633883949399.0
2021-08-15 00:00:00,12402586263688.0,630185774756.0
2021-08-15 06:00:00,12028777620475.0,651899102820.0
2021-08-15 12:00:00,12282298524213.0,638549160836.0
2021-08-15 18:00:00,12378555625173.0,634701275314.0
2021-08-16 00:00:00,12414216953265.0,630159437392.0
2021-08-16 06:00:00,12940666471930.0,606532639491.0
2021-08-16 12:00:00,13016226138245.0,602941921225.0
2021-08-16 18:00:00,13115998447318.0,599809665897.0
2021-08-17 00:00:00,12931850933148.0,610012662958.0
2021-08-17 06:00:00,12951418117098.0,609618636887.0
2021-08-17 12:00:00,13099002825991.0,602966034742.0
2021-08-17 18:00:00,13062863760443.0,604653231074.0
2021-08-18 00:00:00,13317093426114.0,594243435548.0
2021-08-18 06:00:00,13352663489964.0,590307605002.0
2021-08-18 12:00:00,13462087623343.0,586254568293.0
2021-08-18 18:00:00,13574348879051.0,580368478178.0
2021-08-19 00:00:00,13930774015682.0,568454918896.0
2021-08-19 06:00:00,14216520729702.0,557157110178.0
2021-08-19 12:00:00,14207550660271.0,569893149647.0
2021-08-19 18:00:00,14137130416205.0,573524117485.0
2021-08-20 00:00:00,14462866706515.0,560933299210.0
2021-08-20 06:00:00,14646650615329.0,554698419644.0
2021-08-20 12:00:00,14677285125251.0,553927902478.0
2021-08-20 18:00:00,14764903022446.0,551968330698.0
2021-08-21 00:00:00,14391012324589.0,567865091576.0
2021-08-21 06:00:00,14592920788962.0,561158912603.0
2021-08-21 12:00:00,15082350846991.0,545729335569.0
2021-08-21 18:00:00,15282905634482.0,542609877180.0
2021-08-22 00:00:00,15230466511362.0,544618386806.0
2021-08-22 06:00:00,14961998796264.0,554511117099.0
2021-08-22 12:00:00,14935675926212.0,555506261902.0
2021-08-22 18:00:00,14818782670280.0,560310425503.0
