time,ATOM,IRIS
2021-06-19 12:00:00,584007552.0,25047124885.0
2021-06-19 18:00:00,594067501.0,42056642634.0
2021-06-20 00:00:00,650509940.0,66546272499.0
2021-06-20 06:00:00,1544366737.0,155823261294.0
2021-06-20 12:00:00,3572936537.0,379559751764.0
2021-06-20 18:00:00,3494263513.0,356754435383.0
2021-06-21 00:00:00,7884365851.0,740428645324.0
2021-06-21 06:00:00,8093924920.0,759481244031.0
2021-06-21 12:00:00,10772475550.0,1047031612049.0
2021-06-21 18:00:00,10665200833.0,1066404328905.0
2021-06-22 00:00:00,10978473608.0,1078937661174.0
2021-06-22 06:00:00,10717382168.0,1091837061702.0
2021-06-22 12:00:00,13033408547.0,1291998809695.0
2021-06-22 18:00:00,13142488991.0,1339813887075.0
2021-06-23 00:00:00,13360084577.0,1343689466320.0
2021-06-23 06:00:00,14583565375.0,1387314425467.0
2021-06-23 12:00:00,14523651702.0,1462643188862.0
2021-06-23 18:00:00,18415802589.0,1858330918534.0
2021-06-24 00:00:00,42794628689.0,3747970930572.0
2021-06-24 06:00:00,47353403299.0,4256299503343.0
2021-06-24 12:00:00,54412277180.0,5046626646549.0
2021-06-24 18:00:00,65479346124.0,5864168688164.0
2021-06-25 00:00:00,74574790345.0,6656425182589.0
2021-06-25 06:00:00,78771574434.0,7028091847461.0
2021-06-25 12:00:00,86994972243.0,7973047531209.0
2021-06-25 18:00:00,88351779094.0,8070670194515.0
2021-06-26 00:00:00,92529842459.0,8109073625666.0
2021-06-26 06:00:00,102634069434.0,8948725234886.0
2021-06-26 12:00:00,102055675511.0,9146553776383.0
2021-06-26 18:00:00,105265817236.0,9166013354125.0
2021-06-27 00:00:00,106472413560.0,9381672753299.0
2021-06-27 06:00:00,113601405894.0,9659731332532.0
2021-06-27 12:00:00,113984070118.0,9689296648019.0
2021-06-27 18:00:00,113416876919.0,9972565176967.0
2021-06-28 00:00:00,114968262387.0,9998443574213.0
2021-06-28 06:00:00,114405103098.0,10128311678327.0
2021-06-28 12:00:00,114166455057.0,10183358889161.0
2021-06-28 18:00:00,131166475511.0,11791556904488.0
2021-06-29 00:00:00,130909282997.0,12109459699417.0
2021-06-29 06:00:00,128815117322.0,12575350410817.0
2021-06-29 12:00:00,129273685835.0,12857222977798.0
2021-06-29 18:00:00,141808254690.0,13244254656794.0
2021-06-30 00:00:00,147398123971.0,14014502415490.0
2021-06-30 06:00:00,147484756351.0,14193323486579.0
2021-06-30 12:00:00,147269161576.0,14371968926188.0
2021-06-30 18:00:00,147243127700.0,14510055499545.0
2021-07-01 00:00:00,145765825661.0,14564727530576.0
2021-07-01 06:00:00,147364008997.0,14479004709866.0
2021-07-01 12:00:00,148127255283.0,14492925167437.0
2021-07-01 18:00:00,150308349301.0,14790261671015.0
2021-07-02 00:00:00,150473959982.0,14900804090212.0
2021-07-02 06:00:00,159179323402.0,15653871931967.0
2021-07-02 12:00:00,167618603819.0,16006769367562.0
2021-07-02 18:00:00,165302382162.0,16470156509385.0
2021-07-03 00:00:00,166172937588.0,16356824419521.0
2021-07-03 06:00:00,165293021132.0,16582392978047.0
2021-07-03 12:00:00,192790662278.0,18900564100053.0
2021-07-03 18:00:00,192908253499.0,18921619250464.0
2021-07-04 00:00:00,193682820794.0,18886023236638.0
2021-07-04 06:00:00,193437315264.0,18928687324201.0
2021-07-04 12:00:00,191397385815.0,19219311787744.0
2021-07-04 18:00:00,191369193142.0,19296741730013.0
2021-07-05 00:00:00,192416796092.0,18784667986056.0
2021-07-05 06:00:00,188638230730.0,19144914965956.0
2021-07-05 12:00:00,186783677882.0,19438864117671.0
2021-07-05 18:00:00,187721109885.0,19321877420474.0
2021-07-06 00:00:00,184482144056.0,19889463119924.0
2021-07-06 06:00:00,186017020590.0,19923380628354.0
2021-07-06 12:00:00,186502858317.0,19817548833345.0
2021-07-06 18:00:00,186780951905.0,19777763184032.0
2021-07-07 00:00:00,185749901843.0,19964578029923.0
2021-07-07 06:00:00,187905166419.0,20138743525439.0
2021-07-07 12:00:00,189252202691.0,19925715422506.0
2021-07-07 18:00:00,190123230778.0,20193520965681.0
2021-07-08 00:00:00,189437013563.0,20217315872362.0
2021-07-08 06:00:00,184962463569.0,19764233297028.0
2021-07-08 12:00:00,185582089367.0,19625942724535.0
2021-07-08 18:00:00,181670846556.0,20058023321979.0
2021-07-09 00:00:00,181806593323.0,20072007756626.0
2021-07-09 06:00:00,178986008242.0,20434763608567.0
2021-07-09 12:00:00,181317380753.0,20905544780271.0
2021-07-09 18:00:00,179498321566.0,21241515580654.0
2021-07-10 00:00:00,179604408118.0,21198091405946.0
2021-07-10 06:00:00,179216772867.0,21142302672241.0
2021-07-10 12:00:00,178803999292.0,21226606441939.0
2021-07-10 18:00:00,177710006761.0,21321573870597.0
2021-07-11 00:00:00,174690503623.0,21854894666830.0
2021-07-11 06:00:00,174090774916.0,21993488067045.0
2021-07-11 12:00:00,173322009701.0,22113534311425.0
2021-07-11 18:00:00,172974161444.0,21877825581605.0
2021-07-12 00:00:00,173730571428.0,21616281398818.0
2021-07-12 06:00:00,173447175758.0,21412934426742.0
2021-07-12 12:00:00,173972679099.0,21346932604535.0
2021-07-12 18:00:00,173915991544.0,21288937837226.0
2021-07-13 00:00:00,166256975746.0,20401314273992.0
2021-07-13 06:00:00,165861087881.0,20455801177288.0
2021-07-13 12:00:00,165392042124.0,20550575082165.0
2021-07-13 18:00:00,169237458222.0,20608764523940.0
2021-07-14 00:00:00,171598328689.0,20177032014488.0
2021-07-14 06:00:00,174316670416.0,19813412319853.0
2021-07-14 12:00:00,173551134089.0,19970790884605.0
2021-07-14 18:00:00,173768778097.0,20004022737096.0
2021-07-15 00:00:00,175800053599.0,19664425208773.0
2021-07-15 06:00:00,176078342947.0,19648367687204.0
2021-07-15 12:00:00,177432936921.0,19310040637222.0
2021-07-15 18:00:00,178018234127.0,19214694513555.0
2021-07-16 00:00:00,180645477831.0,18819378973641.0
2021-07-16 06:00:00,180705840840.0,18554413232893.0
2021-07-16 12:00:00,176935446502.0,19141737502404.0
2021-07-16 18:00:00,134242069530.0,15391094306522.0
2021-07-17 00:00:00,137204697018.0,14939571011247.0
2021-07-17 06:00:00,137677021471.0,14945939394371.0
2021-07-17 12:00:00,137618350072.0,14956489216735.0
2021-07-17 18:00:00,137413961189.0,14974669107960.0
2021-07-18 00:00:00,137293881436.0,15019364124409.0
2021-07-18 06:00:00,137227775952.0,15033299200063.0
2021-07-18 12:00:00,137299142062.0,14965921445124.0
2021-07-18 18:00:00,137456940761.0,14974281254191.0
2021-07-19 00:00:00,137317509884.0,15022991134920.0
2021-07-19 06:00:00,138099248618.0,15083460456572.0
2021-07-19 12:00:00,137718890122.0,15145422076309.0
2021-07-19 18:00:00,137085174508.0,15228688107243.0
2021-07-20 00:00:00,137326914272.0,15252687911495.0
2021-07-20 06:00:00,136527604393.0,15449510592370.0
2021-07-20 12:00:00,136596265387.0,15439687459018.0
2021-07-20 18:00:00,135947055407.0,15561293464158.0
2021-07-21 00:00:00,136761944824.0,15447592722967.0
2021-07-21 06:00:00,137364071442.0,15363148125261.0
2021-07-21 12:00:00,136711816750.0,15515342733910.0
2021-07-21 18:00:00,137938117147.0,15525014905751.0
2021-07-22 00:00:00,138374559013.0,15520212464132.0
2021-07-22 06:00:00,138715878122.0,15613090148060.0
2021-07-22 12:00:00,136762468175.0,15947774570979.0
2021-07-22 18:00:00,135324669186.0,16254908022280.0
2021-07-23 00:00:00,135306083946.0,16306682927513.0
2021-07-23 06:00:00,136956345783.0,16104203792894.0
2021-07-23 12:00:00,137054218855.0,16104556883264.0
2021-07-23 18:00:00,139164147911.0,15682170841531.0
2021-07-24 00:00:00,147220913223.0,16473444722459.0
2021-07-24 06:00:00,147613951010.0,16414941398361.0
2021-07-24 12:00:00,147589251216.0,16427135628524.0
2021-07-24 18:00:00,147417684998.0,16618896303536.0
