time,CRO,OSMO
2021-06-19 12:00:00,100000000.0,100000.0
2021-06-19 18:00:00,97575240.0,411607.0
2021-06-20 00:00:00,457541205054.0,277434836.0
2021-06-20 06:00:00,513316048217.0,271542314.0
2021-06-20 12:00:00,4613417936683.0,2469389471.0
2021-06-20 18:00:00,11549297446160.0,5187474387.0
2021-06-21 00:00:00,11322152473608.0,5383284765.0
2021-06-21 06:00:00,12218628124673.0,5037182198.0
2021-06-21 12:00:00,11194029512024.0,5788740706.0
2021-06-21 18:00:00,12997152713020.0,5209146398.0
2021-06-22 00:00:00,15618912865701.0,4929731911.0
2021-06-22 06:00:00,17050958317694.0,4572608717.0
2021-06-22 12:00:00,18547405733812.0,4403834324.0
2021-06-22 18:00:00,19375542319147.0,5500024173.0
2021-06-23 00:00:00,20302840935165.0,5648699585.0
2021-06-23 06:00:00,27173861253737.0,6040976970.0
2021-06-23 12:00:00,32294548284113.0,5809647440.0
2021-06-23 18:00:00,66225658818352.0,14792848180.0
2021-06-24 00:00:00,139594707917596.0,25424518973.0
2021-06-24 06:00:00,183790081062494.0,27970721133.0
2021-06-24 12:00:00,235510935519911.0,35114701792.0
2021-06-24 18:00:00,263067813346401.0,38951123202.0
2021-06-25 00:00:00,301316097493635.0,46765827727.0
2021-06-25 06:00:00,351763995273368.0,49856947470.0
2021-06-25 12:00:00,371185674297611.0,53627326021.0
2021-06-25 18:00:00,369414158896108.0,56210095380.0
2021-06-26 00:00:00,376740970223918.0,62583456038.0
2021-06-26 06:00:00,368052635875953.0,64333392511.0
2021-06-26 12:00:00,359067903635315.0,66115035632.0
2021-06-26 18:00:00,380705163846684.0,69628163069.0
2021-06-27 00:00:00,394779132006026.0,71638506720.0
2021-06-27 06:00:00,475287207667952.0,88909795857.0
2021-06-27 12:00:00,475929891313994.0,89424262129.0
2021-06-27 18:00:00,459152788509300.0,93069945861.0
2021-06-28 00:00:00,460545681010220.0,95223674041.0
2021-06-28 06:00:00,454152548833221.0,96283790343.0
2021-06-28 12:00:00,460034998446137.0,97880158285.0
2021-06-28 18:00:00,456623629896441.0,104833606036.0
2021-06-29 00:00:00,463430418826417.0,112581314587.0
2021-06-29 06:00:00,461758090985755.0,116028871410.0
2021-06-29 12:00:00,470625983902931.0,118364924451.0
2021-06-29 18:00:00,505630716881756.0,121687206055.0
2021-06-30 00:00:00,501147362999437.0,124369192117.0
2021-06-30 06:00:00,492069587707672.0,130383564319.0
2021-06-30 12:00:00,499590456895128.0,137730524275.0
2021-06-30 18:00:00,501066203535400.0,143594278124.0
2021-07-01 00:00:00,501997263766329.0,144104208311.0
2021-07-01 06:00:00,510965324837529.0,151470657022.0
2021-07-01 12:00:00,530045069786564.0,162376365269.0
2021-07-01 18:00:00,514863639650184.0,168497070706.0
2021-07-02 00:00:00,507289115155870.0,170473433525.0
2021-07-02 06:00:00,507498242298803.0,172205341484.0
2021-07-02 12:00:00,500184291279038.0,176367296944.0
